"Station","Date","Mo.and.Lettenmeier","Ford.and.Labosier","Pendergrass.et.al.","Noguera.et.al.","Christian.et.al.","Osman.et.al.","Alencar.et.al.","Multi.criteria","Duration","Latitude","Longitude","IGPB","IGPB2","color1","Ford.and.Labosier_mod"
"IT-Ren","2009-01-31","0","0","0","0","0","0","0","0",16,46.59,11.43,"ENF","Evergreen needleleaf forests","#D9EF8B","0"
"IT-Ren","2009-02-28","0","0","0","0","0","0","0","0",16,46.59,11.43,"ENF","Evergreen needleleaf forests","#D9EF8B","0"
"IT-Ren","2009-03-31","0","0","0","0","0","0","0","1",16,46.59,11.43,"ENF","Evergreen needleleaf forests","#D9EF8B","0"
"IT-Ren","2009-04-30","0","0","0","0","0","0","0","1",16,46.59,11.43,"ENF","Evergreen needleleaf forests","#D9EF8B","0"
"IT-Ren","2009-05-31","0","0","0","0","0","0","0","0",16,46.59,11.43,"ENF","Evergreen needleleaf forests","#D9EF8B","0"
"IT-Ren","2009-06-30","0","0","0","0","0","0","0","0",16,46.59,11.43,"ENF","Evergreen needleleaf forests","#D9EF8B","0"
"IT-Ren","2009-07-31","0","0","0","0","0","0","0","0",16,46.59,11.43,"ENF","Evergreen needleleaf forests","#D9EF8B","0"
"IT-Ren","2009-08-31","0","0","0","0","0","0","0","1",16,46.59,11.43,"ENF","Evergreen needleleaf forests","#D9EF8B","0"
"IT-Ren","2009-09-30","0","0","0","0","0","0","0","1",16,46.59,11.43,"ENF","Evergreen needleleaf forests","#D9EF8B","0"
"IT-Ren","2009-10-31","0","0","0","0","0","0","0","0",16,46.59,11.43,"ENF","Evergreen needleleaf forests","#D9EF8B","0"
"IT-Ren","2009-11-30","0","0","0","0","0","0","0","0",16,46.59,11.43,"ENF","Evergreen needleleaf forests","#D9EF8B","0"
"IT-Ren","2009-12-31","0","0","0","0","0","0","0","0",16,46.59,11.43,"ENF","Evergreen needleleaf forests","#D9EF8B","0"
"IT-Ren","2010-01-31","0","0","0","0","0","0","0","0",16,46.59,11.43,"ENF","Evergreen needleleaf forests","#D9EF8B","0"
"IT-Ren","2010-02-28","0","0","0","0","0","0","0","0",16,46.59,11.43,"ENF","Evergreen needleleaf forests","#D9EF8B","0"
"IT-Ren","2010-03-31","0","0","0","0","0","0","0","0",16,46.59,11.43,"ENF","Evergreen needleleaf forests","#D9EF8B","0"
"IT-Ren","2010-04-30","0","0","0","0","0","0","0","0",16,46.59,11.43,"ENF","Evergreen needleleaf forests","#D9EF8B","0"
"IT-Ren","2010-05-31","0","0","0","0","0","0","0","0",16,46.59,11.43,"ENF","Evergreen needleleaf forests","#D9EF8B","0"
"IT-Ren","2010-06-30","0","0","0","0","0","0","0","1",16,46.59,11.43,"ENF","Evergreen needleleaf forests","#D9EF8B","0"
"IT-Ren","2010-07-31","0","0","0","0","0","0","0","1",16,46.59,11.43,"ENF","Evergreen needleleaf forests","#D9EF8B","0"
"IT-Ren","2010-08-31","0","0","0","0","0","0","0","0",16,46.59,11.43,"ENF","Evergreen needleleaf forests","#D9EF8B","0"
"IT-Ren","2010-09-30","0","0","0","0","0","0","0","0",16,46.59,11.43,"ENF","Evergreen needleleaf forests","#D9EF8B","0"
"IT-Ren","2010-10-31","0","0","0","0","0","0","0","0",16,46.59,11.43,"ENF","Evergreen needleleaf forests","#D9EF8B","0"
"IT-Ren","2010-11-30","0","0","0","0","0","0","0","0",16,46.59,11.43,"ENF","Evergreen needleleaf forests","#D9EF8B","0"
"IT-Ren","2010-12-31","0","0","0","0","0","0","0","0",16,46.59,11.43,"ENF","Evergreen needleleaf forests","#D9EF8B","0"
"IT-Ren","2011-01-31","0","0","0","0","0","0","0","0",16,46.59,11.43,"ENF","Evergreen needleleaf forests","#D9EF8B","0"
"IT-Ren","2011-02-28","0","0","0","0","0","0","0","0",16,46.59,11.43,"ENF","Evergreen needleleaf forests","#D9EF8B","0"
"IT-Ren","2011-03-31","0","0","0","0","0","0","0","0",16,46.59,11.43,"ENF","Evergreen needleleaf forests","#D9EF8B","0"
"IT-Ren","2011-04-30","0","0","0","0","0","0","0","0",16,46.59,11.43,"ENF","Evergreen needleleaf forests","#D9EF8B","0"
"IT-Ren","2011-05-31","0","0","0","0","0","0","0","0",16,46.59,11.43,"ENF","Evergreen needleleaf forests","#D9EF8B","0"
"IT-Ren","2011-06-30","0","0","0","0","0","0","0","0",16,46.59,11.43,"ENF","Evergreen needleleaf forests","#D9EF8B","0"
"IT-Ren","2011-07-31","0","0","0","0","0","0","0","0",16,46.59,11.43,"ENF","Evergreen needleleaf forests","#D9EF8B","0"
"IT-Ren","2011-08-31","0","0","0","0","0","0","0","0",16,46.59,11.43,"ENF","Evergreen needleleaf forests","#D9EF8B","0"
"IT-Ren","2011-09-30","0","0","0","0","0","0","0","0",16,46.59,11.43,"ENF","Evergreen needleleaf forests","#D9EF8B","0"
"IT-Ren","2011-10-31","0","0","0","0","0","0","0","0",16,46.59,11.43,"ENF","Evergreen needleleaf forests","#D9EF8B","0"
"IT-Ren","2011-11-30","0","0","0","0","0","0","0","0",16,46.59,11.43,"ENF","Evergreen needleleaf forests","#D9EF8B","0"
"IT-Ren","2011-12-31","0","0","0","0","0","0","0","0",16,46.59,11.43,"ENF","Evergreen needleleaf forests","#D9EF8B","0"
"IT-Ren","2012-01-31","0","0","0","0","0","0","0","0",16,46.59,11.43,"ENF","Evergreen needleleaf forests","#D9EF8B","0"
"IT-Ren","2012-02-29","0","0","0","0","0","0","0","0",16,46.59,11.43,"ENF","Evergreen needleleaf forests","#D9EF8B","0"
"IT-Ren","2012-03-31","0","0","0","0","0","0","0","0",16,46.59,11.43,"ENF","Evergreen needleleaf forests","#D9EF8B","0"
"IT-Ren","2012-04-30","0","0","0","0","0","0","0","0",16,46.59,11.43,"ENF","Evergreen needleleaf forests","#D9EF8B","0"
"IT-Ren","2012-05-31","0","0","0","0","0","0","0","0",16,46.59,11.43,"ENF","Evergreen needleleaf forests","#D9EF8B","0"
"IT-Ren","2012-06-30","0","0","0","0","0","0","0","0",16,46.59,11.43,"ENF","Evergreen needleleaf forests","#D9EF8B","0"
"IT-Ren","2012-07-31","0","0","0","0","0","0","0","0",16,46.59,11.43,"ENF","Evergreen needleleaf forests","#D9EF8B","0"
"IT-Ren","2012-08-31","0","0","0","0","0","0","0","0",16,46.59,11.43,"ENF","Evergreen needleleaf forests","#D9EF8B","0"
"IT-Ren","2012-09-30","0","0","0","0","0","0","0","0",16,46.59,11.43,"ENF","Evergreen needleleaf forests","#D9EF8B","0"
"IT-Ren","2012-10-31","0","0","0","0","0","0","0","0",16,46.59,11.43,"ENF","Evergreen needleleaf forests","#D9EF8B","0"
"IT-Ren","2012-11-30","0","0","0","0","0","0","0","0",16,46.59,11.43,"ENF","Evergreen needleleaf forests","#D9EF8B","0"
"IT-Ren","2012-12-31","0","0","0","0","0","0","0","0",16,46.59,11.43,"ENF","Evergreen needleleaf forests","#D9EF8B","0"
"IT-Ren","2013-01-31","0","0","0","0","0","0","0","0",16,46.59,11.43,"ENF","Evergreen needleleaf forests","#D9EF8B","0"
"IT-Ren","2013-02-28","0","0","0","0","0","0","0","0",16,46.59,11.43,"ENF","Evergreen needleleaf forests","#D9EF8B","0"
"IT-Ren","2013-03-31","0","0","0","0","0","0","0","0",16,46.59,11.43,"ENF","Evergreen needleleaf forests","#D9EF8B","0"
"IT-Ren","2013-04-30","0","0","0","0","0","0","0","0",16,46.59,11.43,"ENF","Evergreen needleleaf forests","#D9EF8B","0"
"IT-Ren","2013-05-31","0","0","0","0","0","0","0","0",16,46.59,11.43,"ENF","Evergreen needleleaf forests","#D9EF8B","0"
"IT-Ren","2013-06-30","0","0","0","0","0","0","0","0",16,46.59,11.43,"ENF","Evergreen needleleaf forests","#D9EF8B","0"
"IT-Ren","2013-07-31","0","0","0","0","0","0","0","1",16,46.59,11.43,"ENF","Evergreen needleleaf forests","#D9EF8B","0"
"IT-Ren","2013-08-31","0","0","0","0","0","0","0","1",16,46.59,11.43,"ENF","Evergreen needleleaf forests","#D9EF8B","0"
"IT-Ren","2013-09-30","0","0","0","0","0","0","0","0",16,46.59,11.43,"ENF","Evergreen needleleaf forests","#D9EF8B","0"
"IT-Ren","2013-10-31","0","0","0","0","0","0","0","0",16,46.59,11.43,"ENF","Evergreen needleleaf forests","#D9EF8B","0"
"IT-Ren","2013-11-30","0","0","0","0","0","0","0","0",16,46.59,11.43,"ENF","Evergreen needleleaf forests","#D9EF8B","0"
"IT-Ren","2013-12-31","0","0","0","0","0","0","0","0",16,46.59,11.43,"ENF","Evergreen needleleaf forests","#D9EF8B","0"
"IT-Ro2","2002-01-31","0","0","0","0","0","0","0","0",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2002-02-28","0","0","0","0","0","0","0","0",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2002-03-31","0","0","0","0","0","0","0","0",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2002-04-30","0","0","0","0","0","0","0","0",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2002-05-31","0","0","0","0","0","0","0","0",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2002-06-30","0","0","0","0","0","0","0","0",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2002-07-31","0","0","0","0","0","0","0","0",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2002-08-31","0","0","0","0","0","0","0","0",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2002-09-30","0","0","0","0","0","0","0","0",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2002-10-31","0","0","0","0","0","0","0","0",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2002-11-30","0","0","0","0","0","0","0","0",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2002-12-31","0","0","0","0","0","0","0","0",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2003-01-31","0","0","0","0","0","0","0","0",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2003-02-28","0","0","0","0","0","0","0","0",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2003-03-31","0","0","0","0","0","0","0","0",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2003-04-30","0","0","0","0","0","0","0","1",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2003-05-31","0","0","0","0","0","0","0","1",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2003-06-30","0","0","0","0","0","0","0","1",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2003-07-31","0","0","0","0","0","0","0","0",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2003-08-31","0","0","0","0","0","0","0","0",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2003-09-30","0","0","0","0","0","0","0","0",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2003-10-31","0","0","0","0","0","0","0","0",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2003-11-30","0","0","0","0","0","0","0","0",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2003-12-31","0","0","0","0","0","0","0","0",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2004-01-31","0","0","0","0","0","0","0","0",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2004-02-29","0","0","0","0","0","0","0","0",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2004-03-31","0","0","0","0","0","0","0","0",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2004-04-30","0","0","0","0","0","0","0","0",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2004-05-31","0","0","0","0","0","0","0","0",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2004-06-30","0","0","0","0","0","0","0","0",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2004-07-31","0","0","0","0","0","0","0","0",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2004-08-31","0","0","0","0","0","0","0","0",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2004-09-30","0","0","0","0","0","0","0","0",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2004-10-31","0","0","0","0","0","0","0","0",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2004-11-30","0","0","0","0","0","0","0","0",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2004-12-31","0","0","0","0","0","0","0","0",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2005-01-31","0","0","0","0","0","0","0","0",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2005-02-28","0","0","0","0","0","0","0","0",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2005-03-31","0","0","0","0","0","0","0","0",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2005-04-30","0","0","0","0","0","0","0","0",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2005-05-31","0","0","0","0","0","0","0","0",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2005-06-30","0","0","0","0","0","0","0","0",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2005-07-31","0","0","0","0","0","0","0","0",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2005-08-31","0","0","0","0","0","0","0","0",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2005-09-30","0","0","0","0","0","0","0","0",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2005-10-31","0","0","0","0","0","0","0","0",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2005-11-30","0","0","0","0","0","0","0","0",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2005-12-31","0","0","0","0","0","0","0","0",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2006-01-31","0","0","0","0","0","0","0","0",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2006-02-28","0","0","0","0","0","0","0","0",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2006-03-31","0","0","0","0","0","0","0","0",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2006-04-30","0","0","0","0","0","0","0","0",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2006-05-31","0","1","0","0","0","0","0","1",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","1"
"IT-Ro2","2006-06-30","0","1","0","0","0","0","0","1",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","1"
"IT-Ro2","2006-07-31","1","0","0","0","0","0","0","1",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2006-08-31","0","0","0","0","0","0","0","0",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2006-09-30","0","0","0","0","0","0","0","1",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2006-10-31","0","0","0","0","0","0","0","0",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2006-11-30","0","0","0","0","0","0","0","0",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2006-12-31","0","0","0","0","0","0","0","0",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2007-01-31","0","0","0","0","0","0","0","0",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2007-02-28","1","0","0","0","0","1","0","0",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2007-03-31","1","1","0","0","0","1","0","1",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","1"
"IT-Ro2","2007-04-30","1","1","1","1","0","1","1","1",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","1"
"IT-Ro2","2007-05-31","1","0","0","1","0","1","0","0",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2007-06-30","0","1","0","0","0","0","0","1",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","1"
"IT-Ro2","2007-07-31","0","1","0","0","0","0","0","1",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","1"
"IT-Ro2","2007-08-31","0","0","0","0","0","1","0","1",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","1"
"IT-Ro2","2007-09-30","0","1","0","0","0","1","0","1",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","1"
"IT-Ro2","2007-10-31","0","1","1","0","0","1","0","0",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2007-11-30","0","0","0","0","0","0","0","0",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2007-12-31","0","0","0","0","0","0","0","0",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2008-01-31","0","0","0","0","0","0","0","0",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2008-02-29","0","0","0","0","0","0","0","0",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2008-03-31","0","0","0","0","0","1","0","0",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2008-04-30","0","1","0","0","0","1","0","1",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","1"
"IT-Ro2","2008-05-31","0","1","0","0","0","1","0","1",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","1"
"IT-Ro2","2008-06-30","0","1","0","0","1","1","0","1",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","1"
"IT-Ro2","2008-07-31","0","1","0","0","1","1","0","1",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","1"
"IT-Ro2","2008-08-31","0","1","0","0","1","1","0","0",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2008-09-30","0","0","0","0","0","0","0","0",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2008-10-31","0","0","0","0","0","0","0","0",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2008-11-30","0","0","0","0","0","0","0","0",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2008-12-31","0","0","0","0","0","0","0","0",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2009-01-31","0","0","0","0","0","0","0","0",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2009-02-28","0","0","0","0","0","0","0","0",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2009-03-31","0","0","0","0","0","0","0","1",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2009-04-30","0","0","0","0","0","0","0","1",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2009-05-31","0","0","0","0","0","0","0","0",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2009-06-30","0","0","0","0","0","0","0","0",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2009-07-31","0","0","0","0","0","0","0","0",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2009-08-31","0","0","0","0","0","0","0","1",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2009-09-30","0","0","0","0","0","0","0","1",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2009-10-31","0","0","0","0","0","0","0","0",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2009-11-30","0","0","0","0","0","0","0","0",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2009-12-31","0","0","0","0","0","0","0","0",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2010-01-31","0","0","0","0","0","0","0","0",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2010-02-28","0","0","0","0","0","0","0","0",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2010-03-31","0","0","0","0","0","0","0","0",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2010-04-30","0","0","0","0","0","0","0","0",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2010-05-31","0","0","0","0","0","0","0","0",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2010-06-30","1","0","0","1","0","0","0","1",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2010-07-31","0","1","0","0","0","0","0","1",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","1"
"IT-Ro2","2010-08-31","0","1","0","0","0","0","0","1",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","1"
"IT-Ro2","2010-09-30","0","1","0","0","0","1","0","1",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","1"
"IT-Ro2","2010-10-31","0","1","0","0","0","1","0","1",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","1"
"IT-Ro2","2010-11-30","0","0","0","0","0","0","0","0",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2010-12-31","0","0","0","0","0","0","0","0",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2011-01-31","0","0","0","0","0","0","0","0",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2011-02-28","0","0","0","0","0","0","0","0",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2011-03-31","0","1","0","1","0","1","0","1",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","1"
"IT-Ro2","2011-04-30","1","1","0","1","0","1","0","1",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","1"
"IT-Ro2","2011-05-31","0","1","0","0","0","1","0","1",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","1"
"IT-Ro2","2011-06-30","0","1","0","0","0","1","0","1",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","1"
"IT-Ro2","2011-07-31","0","0","0","0","0","0","0","0",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","0"
"IT-Ro2","2011-08-31","0","1","0","0","0","1","0","1",11,42.39,11.92,"DBF","Deciduous broadleaf forests","#FEE08B","1"
